timestamp,command,task,plan_valid,first_blocking_layer,parse_ok,parse_error,schema_ok,schema_error,grounding_ok,grounding_error,reach_ok,reach_error,guard_ok,guard_error,t_llm_s,t_validation_s,t_total_s,prompt_tokens,output_tokens,model_id,outcome,scene_age_s,plan_raw
2026-08-29 10:27:06,agarra el objeto verde,pick_and_place,True,none,True,,True,,True,,True,,True,,23.3701,0.00012,23.3869,781,101,qwen2.5:3b,ok,0.037,"{   ""task"": ""pick_and_place"",   ""steps"": [     {""action"": ""approach"", ""object_id"": ""green_0"", ""zone_id"": ""home""},     {""action"": ""grasp"", ""object_id"": ""green_0""},     {""action"": ""lift"", ""object_id"": ""green_0""},     {""action"": ""place"", ""object_id"": ""green_0"", ""zone_id"": ""drop_zone_a""}   ] }"
2026-08-29 10:27:27,home,home,True,none,True,,True,,True,,True,,True,,8.8819,0.00007,8.8840,779,31,qwen2.5:3b,ok,0.347,"{   ""task"": ""home"",   ""steps"": [     {""action"": ""home"", ""zone_id"": ""home""}   ] }"
2026-08-29 10:41:25,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,1.352,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:42:49,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00011,0.0003,,,deterministic_rules,ok,0.446,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:44:59,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00010,0.0002,,,deterministic_rules,ok,0.062,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:46:04,"Toma el verde, por favor",abort,False,grounding,True,,True,,False,stale_scene_state:age=5.06s,True,,True,,0.0000,0.00010,0.0003,,,deterministic_rules,ok,5.064,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:48:46,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00010,0.0003,,,deterministic_rules,ok,0.335,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:49:30,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00016,0.0004,,,deterministic_rules,ok,0.338,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:49:58,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00006,0.0002,,,deterministic_rules,ok,0.295,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:50:15,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00011,0.0003,,,deterministic_rules,ok,0.423,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:50:42,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00008,0.0002,,,deterministic_rules,ok,0.190,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:50:57,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00008,0.0003,,,deterministic_rules,ok,0.922,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:51:12,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00012,0.0003,,,deterministic_rules,ok,0.285,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:51:33,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,1.485,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:51:39,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,0.429,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:52:07,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,0.365,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:52:35,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00016,0.0004,,,deterministic_rules,ok,0.220,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:53:27,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00009,0.0002,,,deterministic_rules,ok,0.111,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:53:49,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00013,0.0003,,,deterministic_rules,ok,0.081,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:54:09,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00006,0.0002,,,deterministic_rules,ok,1.733,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:54:21,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,0.439,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:54:47,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,1.238,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:55:21,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00009,0.0002,,,deterministic_rules,ok,0.093,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:55:42,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00011,0.0003,,,deterministic_rules,ok,0.279,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:56:11,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00013,0.0003,,,deterministic_rules,ok,0.230,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:56:33,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00006,0.0002,,,deterministic_rules,ok,0.114,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:56:49,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00011,0.0003,,,deterministic_rules,ok,0.237,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:57:00,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00009,0.0002,,,deterministic_rules,ok,0.323,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:57:25,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00009,0.0003,,,deterministic_rules,ok,0.307,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:57:44,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00014,0.0004,,,deterministic_rules,ok,0.289,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:58:01,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00008,0.0002,,,deterministic_rules,ok,0.409,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:58:23,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00008,0.0002,,,deterministic_rules,ok,0.430,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:58:40,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00007,0.0002,,,deterministic_rules,ok,0.253,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:58:58,"Toma el verde, por favor",abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00006,0.0002,,,deterministic_rules,ok,1.208,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:59:37,Agarra el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00008,0.0002,,,deterministic_rules,ok,1.719,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
2026-08-29 10:59:55,Recoge el objeto verde,abort,True,none,True,,True,,True,,True,,True,,0.0000,0.00006,0.0002,,,deterministic_rules,ok,0.962,"{""task"": ""abort"", ""reason"": ""unknown_object_class""}"
